LATITUD,LONGITUD,ESTABLECIMIENTO,AIRELIBRE,BARRIO,TIPO,CANTIDAD
-34.6279388789167,-58.35705451560421,Club Del Slack,NO,Boca,Club/Fundación,67
-34.650623144393855,-58.42320195962023,Club Juventud Y Armonia,NO,Nueva pompeya,Club/Fundación,2
-34.6119698,-58.4375604,Club Premier,NO,,Club/Fundación,2
-34.59356675666435,-58.38440728668004,Colegio Domingo Faustino Sarmiento,NO,Retiro,,4
-34.582177,-58.3809015,Comedor Leticia,NO,,,1
-34.68087213000327,-58.4893077298655,Complejo Padre Mugica,NO,Villa lugano,,2
-34.61150636832789,-58.392454835474624,Congreso De La Nacion,NO,Balvanera,,3
-34.60601704,-58.41388422,Conservatorio Superior De Musica De La Ciudad De Bs. As. Astor Piazzolla,NO,Almagro,,2
-34.60601703514821,-58.413884220426596,Conservatorio Superior De Musica Manuel De Falla,NO,Almagro,Escuela/Universidad,11
-34.60601703514821,-58.413884220426596,Conservatorio Superior De Musica Manuel De Falla,NO ESPECIFICA,Almagro,Escuela/Universidad,1
-34.58903455731738,-58.43436218644747,Contemporary Latin America Art,NO,Palermo,,1
-34.60516898959267,-58.43192096764777,Cooperativa La Cacerola,NO,Caballito,,3
-34.5695618,-58.4011119,Costa Salguero,NO ESPECIFICA,,,1
-34.54028478964673,-58.46408086652405,Distintos Puntos De La Ciudad,NO,Nuñez,,1
-34.633122009481234,-58.35335327497871,Distintos Puntos De La Ciudad,NO,Boca,,1
-34.619377935444916,-58.370418993765895,Distintos Puntos De La Ciudad,NO ESPECIFICA,San telmo,,2
-34.624937,-58.410166,Distintos Puntos De La Ciudad,SI,San cristobal,,1
-34.611170,-58.369223,Edificio Libertador General San Martin,NO,Monserrat,,6
-34.6113636,-58.4664227,El Astrolabio Teatro,NO,,Teatro,2
-34.6047102377895,-58.41326451962671,El Emergente Abasto,NO,Balvanera,,1
-34.6052792,-58.4152221,El Extranjero,NO,,,4
-34.604205747388264,-58.39030652371356,El Gato Negro,NO,San nicolas,,4
-34.598696, -58.413369,El Porton De Sanchez,NO,Almagro,,1
-34.6016371,-58.4404808,Esc. 17 De 7 Francisco De Vitoria,NO,,,2
-34.536189,-58.466289,Esc. Tecnicas Raggio,NO,Nuñez,,1
-34.6018659499575,-58.438112569521465,Escuela 17 De 7 Francisco De Vitoria,NO,Villa crespo,Escuela/Universidad,3
-34.622405102853044,-58.372814905430396,Escuela Bernardino Rivadavia,NO,San telmo,Escuela/Universidad,3
-34.650027236582716,-58.404913454454324,Escuela Dean Diego Estanislao De Zavaleta,NO,Nueva pompeya,Escuela/Universidad,2
-34.65988887474836,-58.44943794167383,Escuela Especial 7 De 9,NO,Villa soldati,Escuela/Universidad,1
-34.65142676717078,-58.39664309728252,Escuela Horacio Quiroga,NO,Barracas,Escuela/Universidad,2
-34.6448052,-58.4421934,Escuela José Enrique Rodó,NO,,Escuela/Universidad,1
